記号,検索ワード,10進法,16進法
♦️,トランプのダイヤ,&#9830;&#65039;,&#x2666;&#xFE0F;
🃏,トランプのジョーカー,&#127183;,&#x1F0CF;
🎴,花札,&#127924;,&#x1F3B4;
🀄,麻雀牌の中,&#126980;,&#x1F004;
🕐,1時,&#128336;,&#x1F550;
🕑,2時,&#128337;,&#x1F551;
🕒,3時,&#128338;,&#x1F552;
🕓,4時,&#128339;,&#x1F553;
🕔,5時,&#128340;,&#x1F554;
🕕,6時,&#128341;,&#x1F555;
🕖,7時,&#128342;,&#x1F556;
🕗,8時,&#128343;,&#x1F557;
🕘,9時,&#128344;,&#x1F558;
🕙,10時,&#128345;,&#x1F559;
🕚,11時,&#128346;,&#x1F55A;
🕛,12時,&#128347;,&#x1F55B;
🕜,1時半,&#128348;,&#x1F55C;
🕝,2時半,&#128349;,&#x1F55D;
🕞,3時半,&#128350;,&#x1F55E;
🕟,4時半,&#128351;,&#x1F55F;
🕠,5時半,&#128352;,&#x1F560;
🕡,6時半,&#128353;,&#x1F561;
🕢,7時半,&#128354;,&#x1F562;
🕣,8時半,&#128355;,&#x1F563;
🕤,9時半,&#128356;,&#x1F564;
🕥,10時半,&#128357;,&#x1F565;
🕦,11時半,&#128358;,&#x1F566;
🕧,12時半,&#128359;,&#x1F567;
😀,にやにやした顔,&#128512;,&#x1F600;
😃,口を開けた笑顔,&#128515;,&#x1F603;
😄,口を開けて目が笑っている顔,&#128516;,&#x1F604;
😁,にやにやした顔,&#128513;,&#x1F601;
😆,口を開けて笑っている顔,&#128518;,&#x1F606;
🥹,涙をこらえている顔,&#129401;,&#x1F979;
😅,口を開けて冷や汗をかいた顔,&#128517;,&#x1F605;
😂,嬉し泣き,&#128514;,&#x1F602;
🤣,大爆笑,&#129315;,&#x1F923;
🥲,涙の出ている笑顔,&#129394;,&#x1F972;
☺,笑顔,&#9786;,&#x263A;
😊,目が笑っている笑顔,&#128522;,&#x1F60A;
😇,天使の笑顔,&#128519;,&#x1F607;
🙂,微笑み,&#128578;,&#x1F642;
🙃,逆さの顔,&#128579;,&#x1F643;
😉,ウインクした顔,&#128521;,&#x1F609;
😌,ほっとした顔,&#128524;,&#x1F60C;
😍,目がハートの笑顔 heart 恋 愛 好き,&#128525;,&#x1F60D;
🥰,笑顔とハート3つ heart 恋 愛 好き,&#129392;,&#x1F970;
😘,投げキッス,&#128536;,&#x1F618;
😗,キスをする顔,&#128535;,&#x1F617;
😙,笑顔でキス,&#128537;,&#x1F619;
😚,目を閉じてキスをする顔,&#128538;,&#x1F61A;
😋,食べ物を味わう顔,&#128523;,&#x1F60B;
😛,舌を出している顔,&#128539;,&#x1F61B;
😝,舌を出して目を細めている顔,&#128541;,&#x1F61D;
😜,舌を出してウインクしている顔,&#128540;,&#x1F61C;
🤪,おどけた顔,&#129322;,&#x1F92A;
🤨,眉が上がっている顔,&#129320;,&#x1F928;
🧐,片メガネをかけた顔,&#129488;,&#x1F9D0;
🤓,オタク,&#129299;,&#x1F913;
😎,サングラスをかけた顔,&#128526;,&#x1F60E;
🥸,仮装した顔,&#129400;,&#x1F978;
🤩,スターに夢中 star ほし,&#129321;,&#x1F929;
🥳,パーティーフェイス,&#129395;,&#x1F973;
😏,にやにやした顔,&#128527;,&#x1F60F;
😒,面白くなさそうな顔,&#128530;,&#x1F612;
😞,がっかりした顔,&#128542;,&#x1F61E;
😔,悲しげな顔,&#128532;,&#x1F614;
😟,不安な顔,&#128543;,&#x1F61F;
😕,困った顔,&#128533;,&#x1F615;
🙁,ご機嫌斜め,&#128577;,&#x1F641;
☹,しかめっつら,&#9785;,&#x2639;
😣,我慢している顔,&#128547;,&#x1F623;
😖,うろたえた顔,&#128534;,&#x1F616;
😫,疲れた顔,&#128555;,&#x1F62B;
😩,うんざりしている顔,&#128553;,&#x1F629;
🥺,訴えかける顔,&#129402;,&#x1F97A;
😢,泣き顔,&#128546;,&#x1F622;
😭,号泣,&#128557;,&#x1F62D;
😤,勝ち誇った顔,&#128548;,&#x1F624;
😠,怒った顔,&#128544;,&#x1F620;
😡,ふくれ顔,&#128545;,&#x1F621;
🤬,口が記号で覆われた顔,&#129324;,&#x1F92C;
🤯,爆発した顔 bomb 爆弾 どかーん,&#129327;,&#x1F92F;
😳,赤くなった顔,&#128563;,&#x1F633;
🥵,ほてった顔,&#129397;,&#x1F975;
🥶,青ざめた顔,&#129398;,&#x1F976;
😶‍🌫️,雲で覆われた顔,&#128566;&#8205;&#127787;&#65039;,&#x1F636;
😱,絶叫した顔,&#128561;,&#x1F631;
😨,ゾッとしている顔,&#128552;,&#x1F628;
😰,口を開けて冷や汗をかいた顔,&#128560;,&#x1F630;
😥,がっかりしたが安心した顔,&#128549;,&#x1F625;
😓,冷や汗をかいている顔,&#128531;,&#x1F613;
🤗,ハグする顔,&#129303;,&#x1F917;
🤔,考えている顔,&#129300;,&#x1F914;
🫣,のぞき見している顔,&#129763;,&#x1FAE3;
🤭,口を手で覆った顔,&#129325;,&#x1F92D;
🫢,目を開いて口を手で覆った顔,&#129762;,&#x1FAE2;
🫡,敬礼している顔,&#129761;,&#x1FAE1;
🤫,シッと言っている顔,&#129323;,&#x1F92B;
🫠,ほろりとした顔,&#129760;,&#x1FAE0;
🤥,嘘つき顔,&#129317;,&#x1F925;
😶,口のない顔,&#128566;,&#x1F636;
🫥,点線の顔,&#129765;,&#x1FAE5;
😐,普通の顔,&#128528;,&#x1F610;
🫤,口が斜めになった顔,&#129764;,&#x1FAE4;
😑,無表情,&#128529;,&#x1F611;
🫨,震える顔,&#129768;,&#x1FAE8;
😬,しかめっ面,&#128556;,&#x1F62C;
🙄,ぐるぐる目の顔,&#128580;,&#x1F644;
😯,落ち着いた顔,&#128559;,&#x1F62F;
😦,心配そうな顔,&#128550;,&#x1F626;
😧,苦悩に満ちた顔,&#128551;,&#x1F627;
😮,口を開けた笑顔,&#128558;,&#x1F62E;
😲,驚いた顔,&#128562;,&#x1F632;
🥱,あくびしている顔,&#129393;,&#x1F971;
🫩,目の下にクマのある顔,&#129769;,&#x1FAE9;
😴,寝顔,&#128564;,&#x1F634;
🤤,よだれを垂らした顔,&#129316;,&#x1F924;
😪,眠い顔,&#128554;,&#x1F62A;
😮‍💨,ため息の出ている顔,&#128558;&#8205;&#128168;,&#x1F62E;
😵,めまい顔,&#128565;,&#x1F635;
😵‍💫,目がぐるぐるしている顔,&#128565;&zwj;&#128171;,&#x1F635;&zwj;&#x1F4AB;
🤐,お口チャック,&#129296;,&#x1F910;
🥴,ぼんやりした顔,&#129396;,&#x1F974;
🤢,吐きそうな顔,&#129314;,&#x1F922;
🤮,吐きそうな顔,&#129326;,&#x1F92E;
🤧,くしゃみをする顔,&#129319;,&#x1F927;
😷,マスクをした顔,&#128567;,&#x1F637;
🤒,温度計をくわえた顔,&#129298;,&#x1F912;
🤕,怪我,&#129301;,&#x1F915;
